"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"grid","grid","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4.1","base",NA,"grDevices, utils",NA,NA,NA,"Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"gridExtra","gridExtra","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"gt","gt","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.11.0",NA,"R (>= 3.6.0)","base64enc (>= 0.1-3), bigD (>= 0.2), bitops (>= 1.0-7), cli
(>= 3.6.0), commonmark (>= 1.8.1), dplyr (>= 1.1.0), fs (>=
1.6.1), glue (>= 1.6.2), htmltools (>= 0.5.4), htmlwidgets (>=
1.6.1), juicyjuice (>= 0.1.0), magrittr (>= 2.0.2), markdown
(>= 1.5), reactable (>= 0.4.3), rlang (>= 1.1.0), sass (>=
0.4.5), scales (>= 1.2.1), tidyselect (>= 1.2.0), vctrs, xml2
(>= 1.3.3)",NA,"digest (>= 0.6.31), fontawesome (>= 0.5.2), ggplot2, grid,
gtable, katex (>= 1.4.1), knitr, lubridate, magick, paletteer,
RColorBrewer, rmarkdown (>= 2.20), rsvg, rvest, shiny (>=
1.7.4), testthat (>= 3.1.9), tidyr, webshot2 (>= 0.1.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"gtable","gtable","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.5",NA,"R (>= 3.5)","cli, glue, grid, lifecycle, rlang (>= 1.1.0)",NA,"covr, ggplot2, knitr, profvis, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"gtsummary","gtsummary","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.2",NA,"R (>= 4.2)","cards (>= 0.2.2), cli (>= 3.6.1), dplyr (>= 1.1.3), glue (>=
1.6.2), gt (>= 0.10.0), lifecycle (>= 1.0.3), rlang (>= 1.1.1),
tidyr (>= 1.3.0), vctrs",NA,"aod (>= 1.3.3), broom (>= 1.0.5), broom.helpers (>= 1.17.0),
broom.mixed (>= 0.2.9), car (>= 3.0-11), cardx (>= 0.2.1),
cmprsk, effectsize (>= 0.6.0), emmeans (>= 1.7.3), flextable
(>= 0.8.1), geepack (>= 1.3.10), ggstats (>= 0.2.1), huxtable
(>= 5.4.0), insight (>= 0.15.0), kableExtra (>= 1.3.4), knitr
(>= 1.37), lme4 (>= 1.1-31), mice (>= 3.10.0), nnet, officer,
openxlsx, parameters (>= 0.20.2), parsnip (>= 0.1.7),
rmarkdown, smd (>= 0.6.6), survey (>= 4.2), survival (>=
3.6-4), testthat (>= 3.2.0), withr (>= 2.5.0), workflows (>=
0.2.4)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"hardhat","hardhat","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.0",NA,"R (>= 3.5.0)","cli (>= 3.6.0), glue (>= 1.6.2), rlang (>= 1.1.0), tibble (>=
3.2.1), vctrs (>= 0.6.0)",NA,"covr, crayon, devtools, knitr, Matrix, modeldata (>= 0.0.2),
recipes (>= 1.0.5), rmarkdown (>= 2.3), roxygen2, testthat (>=
3.0.0), usethis (>= 2.1.5), withr (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"haven","haven","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.5.4",NA,"R (>= 3.6)","cli (>= 3.0.0), forcats (>= 0.2.0), hms, lifecycle, methods,
readr (>= 0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs
(>= 0.3.0)","cpp11","covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0), utf8",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"here","here","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"highr","highr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.11",NA,"R (>= 3.3.0)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.4.0"
"Hmisc","Hmisc","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","5.1-3",NA,"R (>= 4.1.0)","methods, ggplot2, cluster, rpart, nnet, foreign, gtable, grid,
gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc, colorspace, rmarkdown, knitr, Formula",NA,"survival, qreport, acepack, chron, rms, mice, rstudioapi,
tables, plotly (>= 4.5.6), rlang, plyr, VGAM, leaps, pcaPP,
digest, parallel, polspline, abind, kableExtra, rio, lattice,
latticeExtra, gt, sparkline, jsonlite, htmlwidgets, qs,
getPass, keyring, safer, htm2txt",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"hms","hms","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.3",NA,NA,"lifecycle, methods, pkgconfig, rlang (>= 1.0.2), vctrs (>=
0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"htmlTable","htmlTable","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.4.3",NA,"R (>= 4.1)","stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, rmarkdown, chron, lubridate,
tibble, purrr, tidyselect, glue, rlang, tidyr (>= 0.7.2), dplyr
(>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"htmltools","htmltools","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.5.8.1",NA,"R (>= 2.14.1)","base64enc, digest, fastmap (>= 1.1.0), grDevices, rlang (>=
1.0.0), utils",NA,"Cairo, markdown, ragg, shiny, testthat, withr","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"htmlwidgets","htmlwidgets","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.6.4",NA,NA,"grDevices, htmltools (>= 0.5.7), jsonlite (>= 0.9.16), knitr
(>= 1.8), rmarkdown, yaml",NA,"testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"httpuv","httpuv","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.6.15",NA,"R (>= 2.15.1)","later (>= 0.8.0), promises, R6, Rcpp (>= 1.0.7), utils","later, Rcpp","callr, curl, testthat, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"httr","httr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.7",NA,"R (>= 3.5)","curl (>= 5.0.2), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"httr2","httr2","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.3",NA,"R (>= 4.0)","cli (>= 3.0.0), curl (>= 5.1.0), glue, lifecycle, magrittr,
openssl, R6, rappdirs, rlang (>= 1.1.0), vctrs (>= 0.6.3),
withr",NA,"askpass, bench, clipr, covr, docopt, httpuv, jose, jsonlite,
knitr, later, promises, rmarkdown, testthat (>= 3.1.8), tibble,
webfakes, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"hunspell","hunspell","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.0.4",NA,"R (>= 3.0.2)","Rcpp, digest","Rcpp (>= 0.12.12)","spelling, testthat, knitr, rmarkdown",NA,"GPL-2 | LGPL-2.1 | MPL-1.1",NA,NA,NA,NA,"yes","4.4.1"
"ids","ids","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"igraph","igraph","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.3",NA,"methods, R (>= 3.5.0)","cli, graphics, grDevices, lifecycle, magrittr, Matrix,
pkgconfig (>= 2.0.0), rlang, stats, utils, vctrs","cpp11 (>= 0.4.7)","ape (>= 5.7-0.1), callr, decor, digest, graph, igraphdata,
knitr, rgl, rmarkdown, scales, stats4, tcltk, testthat, vdiffr,
withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"inegiR","inegiR","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.0.0",NA,"R (>= 2.10)","zoo, XML, plyr, jsonlite, lubridate, tibbletime",NA,NA,NA,"CC0",NA,NA,NA,NA,"no","4.4.0"
"infer","infer","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.7",NA,"R (>= 3.5.0)","broom, cli, dplyr (>= 0.7.0), generics, ggplot2, glue (>=
1.3.0), grDevices, lifecycle, magrittr, methods, patchwork,
purrr, rlang (>= 0.2.0), tibble, tidyr, vctrs",NA,"covr, devtools (>= 1.12.0), fs, knitr, nycflights13, parsnip,
rmarkdown, stringr, testthat (>= 3.0.0), vdiffr (>= 1.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"ini","ini","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"inline","inline","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.19",NA,NA,"methods",NA,"Rcpp (>= 0.11.0), tinytest",NA,"LGPL",NA,NA,NA,NA,"no","4.4.0"
"insight","insight","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.20.4",NA,"R (>= 3.6)","methods, stats, utils",NA,"AER, afex, aod, BayesFactor, bayestestR, bbmle, bdsmatrix,
betareg, bife, biglm, BH, blavaan (>= 0.5-5), blme, boot, brms,
broom, car, carData, censReg, cgam, clubSandwich, cobalt,
coxme, cplm, crch, curl, datawizard, effectsize, emmeans, epiR,
estimatr, feisr, fixest (>= 0.11.2), fungible, fwb, gam,
gamlss, gamlss.data, gamm4, gbm, gee, geepack, geoR, ggeffects,
GLMMadaptive, glmmTMB, glmtoolbox, gmnl, grDevices, gt,
httptest2, httr, httr2, interp, ivreg, JM, knitr, lavaan,
lavaSearch2, lfe, lme4, lmerTest, lmtest, logistf, logitr,
marginaleffects, MASS, Matrix, mclogit, mclust, MCMCglmm,
merTools, metaBMA, metadat, metafor, metaplus, mgcv, mice,
mlogit, mmrm, modelbased, multgee, MuMIn, nestedLogit, nlme,
nnet, nonnest2, ordinal, panelr, parameters, parsnip, pbkrtest,
performance, plm, poorman, PROreg (>= 1.3.0), pscl, psych,
quantreg, Rcpp, RcppEigen, rmarkdown, rms, robustbase,
robustlmm, rpart, rstanarm (>= 2.21.1), rstantools (>= 2.1.0),
rstudioapi, sandwich, serp, speedglm, splines, statmod, survey,
survival, svylme, testthat, tinytable (>= 0.1.0), TMB,
truncreg, tweedie, VGAM, WeightIt, withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"installr","installr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.23.4",NA,"R (>= 2.14.0)","stringr, utils",NA,"curl, XML, devtools, rjson, data.table, plyr, ggplot2, sp,
tools, pkgbuild (>= 1.1.0), testthat (>= 2.1.0), mockery,
R.utils",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"ipred","ipred","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.9-15",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data, randomForest, party",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"ISLR","ISLR","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4",NA,"R (>= 3.5.0)",NA,NA,"MASS",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"ISLR2","ISLR2","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3-2",NA,"R (>= 3.5.0)",NA,NA,"MASS",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"isoband","isoband","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.7",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"iterators","iterators","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.14",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.4.0"
"itertools","itertools","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1-3",NA,"R (>= 2.14.0), iterators(>= 1.0.0)","parallel",NA,"foreach",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"janeaustenr","janeaustenr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.0",NA,"R (>= 3.5)",NA,NA,"dplyr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"janitor","janitor","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.2.0",NA,"R (>= 3.1.2)","dplyr (>= 1.0.0), hms, lifecycle, lubridate, magrittr, purrr,
rlang, stringi, stringr, snakecase (>= 0.9.2), tidyselect (>=
1.0.0), tidyr (>= 0.7.0)",NA,"dbplyr, knitr, rmarkdown, RSQLite, sf, testthat (>= 3.0.0),
tibble, tidygraph",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"jomo","jomo","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.7-6",NA,NA,"stats, lme4, survival, MASS, ordinal, tibble",NA,"mitml",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"jpeg","jpeg","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1-10",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"jquerylib","jquerylib","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"jsonify","jsonify","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.2",NA,"R (>= 3.3.0)","Rcpp (>= 0.12.18)","rapidjsonr (>= 1.2.0), Rcpp","covr, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"jsonlite","jsonlite","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.8.8",NA,"methods",NA,NA,"httr, vctrs, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"juicyjuice","juicyjuice","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.0",NA,NA,"V8 (>= 4.2.0)",NA,"testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"JuliaCall","JuliaCall","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.17.5",NA,"R (>= 3.4.0)","utils, Rcpp (>= 0.12.7), knitr (>= 1.28), rjson","Rcpp","testthat, rmarkdown, rappdirs, sass",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"kableExtra","kableExtra","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.0",NA,"R (>= 3.1.0)","knitr (>= 1.33), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rmarkdown (>= 1.6.0), scales, viridisLite, stats, grDevices,
htmltools, rstudioapi, tools, digest, graphics, svglite",NA,"testthat, magick, tinytex, formattable, sparkline, webshot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"KernSmooth","KernSmooth","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.23-24","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","4.4.1"
"knitr","knitr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.48",NA,"R (>= 3.3.0)","evaluate (>= 0.15), highr (>= 0.11), methods, tools, xfun (>=
0.44), yaml (>= 2.1.19)",NA,"bslib, codetools, DBI (>= 0.4-1), digest, formatR, gifski,
gridSVG, htmlwidgets (>= 0.7), jpeg, JuliaCall (>= 0.11.1),
magick, markdown (>= 1.3), png, ragg, reticulate (>= 1.4), rgl
(>= 0.95.1201), rlang, rmarkdown, sass, showtext, styler (>=
1.2.0), targets (>= 0.6.0), testit, tibble, tikzDevice (>=
0.10), tinytex (>= 0.46), webshot, rstudioapi, svglite",NA,"GPL",NA,NA,NA,NA,"no","4.4.0"
"labeling","labeling","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.3",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.4.0"
"labelled","labelled","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.13.0",NA,"R (>= 3.0)","haven (>= 2.4.1), dplyr (>= 1.0.0), lifecycle, rlang, vctrs,
stringr, tidyr, tidyselect",NA,"testthat, knitr, rmarkdown, questionr, snakecase, utf8, covr,
spelling","memisc","GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"laeken","laeken","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.5.3",NA,"R (>= 3.2.0)","boot, MASS",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"Lahman","Lahman","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","11.0-0",NA,"R (>= 3.5.0)","dplyr",NA,"lattice, ggplot2, googleVis, data.table, vcd, reshape2,
tidyr, knitr, rmarkdown, car",NA,"GPL",NA,NA,NA,NA,"no","4.4.0"
"later","later","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.2",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"lattice","lattice","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.22-6","recommended","R (>= 4.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra, colorspace","chron, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"lava","lava","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.8.0",NA,"R (>= 3.0)","cli, future.apply, graphics, grDevices, methods, numDeriv,
progressr, stats, survival, SQUAREM, utils",NA,"KernSmooth, Rgraphviz, data.table, ellipse, fields, geepack,
graph, knitr, rmarkdown, igraph (>= 0.6), lavaSearch2, lme4 (>=
1.1.35.1), MASS, Matrix (>= 1.6.3), mets (>= 1.1), nlme,
optimx, polycor, quantreg, rgl, targeted (>= 0.4), testthat (>=
0.11), visNetwork",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"lazyeval","lazyeval","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"leafem","leafem","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.3",NA,"R (>= 3.1.0)","base64enc, geojsonsf, htmltools (>= 0.3), htmlwidgets, leaflet
(>= 2.0.1), methods, raster, sf, png",NA,"clipr, leafgl, lwgeom, mapdeck, plainview, stars",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"leaflet","leaflet","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.2.2",NA,"R (>= 3.1.0)","crosstalk, htmltools, htmlwidgets (>= 1.5.4), jquerylib,
leaflet.providers (>= 2.0.0), magrittr, methods, png, raster
(>= 3.6.3), RColorBrewer, scales (>= 1.0.0), sp, stats,
viridisLite, xfun",NA,"knitr, maps, purrr, R6, RJSONIO, rmarkdown, s2, sf (>=
0.9-6), shiny, terra, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"leaflet.providers","leaflet.providers","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.0",NA,"R (>= 2.10)","htmltools",NA,"jsonlite, testthat (>= 3.0.0), V8",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"leafpop","leafpop","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.0",NA,NA,"base64enc, brew, htmltools, htmlwidgets, sf, svglite, uuid",NA,"lattice, leaflet (>= 2.0.0), sp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"leaps","leaps","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.2",NA,"",NA,NA,"biglm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"lifecycle","lifecycle","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.4",NA,"R (>= 3.6)","cli (>= 3.4.0), glue, rlang (>= 1.1.0)",NA,"covr, crayon, knitr, lintr, rmarkdown, testthat (>= 3.0.1),
tibble, tidyverse, tools, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"listenv","listenv","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.9.1",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.0"
"lme4","lme4","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1-35.5",NA,"R (>= 3.6.0), Matrix, methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen (>= 0.3.3.9.4), Matrix (>=
1.2-3)","knitr, rmarkdown, MEMSS, testthat (>= 0.8.1), ggplot2,
mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff, tibble,
merDeriv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"lmtest","lmtest","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.9-40",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"lobstr","lobstr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.2",NA,"R (>= 3.2)","crayon, methods, prettyunits, rlang (>= 1.0.0)","cpp11 (>= 0.4.2)","covr, pillar, pkgdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"loo","loo","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.8.0",NA,"R (>= 3.1.2)","checkmate, matrixStats (>= 0.52), parallel, posterior (>=
1.5.0), stats",NA,"bayesplot (>= 1.7.0), brms (>= 2.10.0), ggplot2, graphics,
knitr, rmarkdown, rstan, rstanarm (>= 2.19.0), rstantools,
spdep, testthat (>= 2.1.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"lubridate","lubridate","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.9.3",NA,"methods, R (>= 3.2)","generics, timechange (>= 0.1.1)",NA,"covr, knitr, rmarkdown, testthat (>= 2.1.0), vctrs (>= 0.5.0)","chron, data.table, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"magick","magick","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.8.4",NA,NA,"Rcpp (>= 0.12.12), magrittr, curl","Rcpp","av (>= 0.3), spelling, jsonlite, methods, knitr, rmarkdown,
rsvg, webp, pdftools, ggplot2, gapminder, IRdisplay, tesseract
(>= 2.0), gifski",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"magrittr","magrittr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.3",NA,"R (>= 3.4.0)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"mapdata","mapdata","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.3.1",NA,"R (>= 2.14.0), maps (>= 2.0-7)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"mapproj","mapproj","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.11",NA,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",NA,NA,NA,"Lucent Public License",NA,NA,NA,NA,"yes","4.4.0"
"maps","maps","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.4.2",NA,"R (>= 3.5.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"mapview","mapview","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.11.2",NA,"methods, R (>= 3.6.0)","base64enc, htmltools, htmlwidgets, lattice, leafem, leaflet
(>= 2.0.0), leafpop, png, raster (>= 3.6.3), satellite, scales
(>= 0.2.5), servr, sf, sp",NA,"covr, knitr, later, leaflet.extras2, leafsync, lwgeom,
mapdeck, plainview, poorman, rmarkdown, rstudioapi, s2, stars,
tinytest, webshot, webshot2",NA,"GPL (>= 3) | file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"margins","margins","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.28",NA,NA,"utils, stats, prediction (>= 0.3.6), data.table, graphics,
grDevices, MASS",NA,"methods, knitr, rmarkdown, testthat, ggplot2, gapminder,
sandwich, stargazer, lme4","AER, betareg, nnet, ordinal, survey","MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"markdown","markdown","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.13",NA,"R (>= 2.11.1)","utils, commonmark (>= 1.9.0), xfun (>= 0.38)",NA,"knitr, rmarkdown (>= 2.18), yaml, RCurl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
